"","prey_scientific_name","mean_SL","sd_SL","n_SL","se_SL"
"1","Anotopterus nikparini",203,NA,1,NA
"2","Arctozenus risso",294.43,52.21,16,13.05
"3","Argyropelecus affinis",55,7.07,2,5
"4","Bathylagidae",84.49,41.56,29,7.72
"5","Bathylagus pacificus",141.12,10.62,4,5.31
"6","Ceratoscopelus townsendi",52.3,16.16,71,1.92
"7","Chauliodus macouni",96,42.43,2,30
"8","Diaphus theta",57.51,25.18,293,1.47
"9","Diogenichthys laternatus",26.12,7.25,8,2.56
"10","Gonostomatidae",195,NA,1,NA
"11","Idiacanthus",104,NA,1,NA
"12","Lampadena urophaos",180.84,84.79,6,34.62
"13","Lampanyctus",63.04,15.39,5,6.88
"14","Lampanyctus ritteri",45.99,17.13,128,1.51
"15","Lestidiops ringens",183.94,43.9,124,3.94
"16","Leuroglossus",113,66.47,2,47
"17","Leuroglossus schmidti",97.76,32.13,22,6.85
"18","Leuroglossus stilbius",73.47,19.11,342,1.03
"19","Lipolagus ochotensis",154.47,19.87,11,5.99
"20","Magnisudis atlantica",282.18,116.6,65,14.46
"21","Myctophidae",60.81,16.68,183,1.23
"22","Nansenia candida",84.45,NA,1,NA
"23","Nansenia crassa",144.57,41.03,21,8.95
"24","Paralepididae",147.27,77.98,18,18.38
"25","Protomyctophum",55.85,1.34,2,0.95
"26","Protomyctophum crockeri",22.87,9.97,76,1.14
"27","Stenobrachius",61.44,9.3,5,4.16
"28","Stenobrachius leucopsarus",49.14,19.35,604,0.79
"29","Symbolophorus californiensis",82.57,30.49,273,1.85
"30","Tactostoma macropus",177.67,18.45,3,10.65
"31","Tarletonbeania crenularis",58.53,12.98,642,0.51
"32","Tetragonurus cuvieri",255.08,75.76,22,16.15
"33","Triphoturus mexicanus",44.55,5.19,284,0.31
